Date,Open,High,Low,Close,Volume,Market Cap
2/23/2019,10.82,10.87,10.46,10.78,81628102,1522126090
2/22/2019,10.45,10.99,10.43,10.84,82256314,1529935070
2/21/2019,10.99,10.99,10.23,10.49,85754656,1481339199
2/20/2019,10.52,11.32,10.52,10.97,118033473,1548138352
2/19/2019,9.65,11.11,9.58,10.56,128091178,1491247773
2/18/2019,9.22,9.74,9.18,9.63,79003060,1360146167
2/17/2019,9.13,9.22,8.92,9.22,66977126,1301079823
2/16/2019,9.32,9.34,9.08,9.13,65705040,1288826514
2/15/2019,8.82,9.51,8.78,9.27,83961438,1309237748
2/14/2019,8.93,9.07,8.46,8.78,72389547,1239809925
2/13/2019,9.33,9.33,8.79,8.94,95068052,1262260337
2/12/2019,9.53,9.75,8.98,9.34,123194872,1318830505
2/11/2019,9.19,9.82,9.15,9.55,136029624,1348481387
2/10/2019,8.86,9.34,8.86,9.21,125419865,1300443647
2/9/2019,8.6,8.93,8.47,8.87,106420119,1252418196
2/8/2019,7.78,8.83,7.65,8.58,103694036,1210659827
2/7/2019,8.1,8.43,7.7,7.73,86056681,1091332443
2/6/2019,7.86,8.47,7.41,8.09,118867601,1141569622
2/5/2019,7.06,7.91,6.96,7.82,96588397,1010127808
2/4/2019,6.77,7.17,6.7,7.1,71959989,917210595
2/3/2019,6.89,6.92,6.62,6.74,59942158,870405723
2/2/2019,6.55,6.89,6.53,6.89,56627089,890238048
2/1/2019,6.26,6.65,6.17,6.56,56050947,847729319
1/31/2019,6.17,6.33,6.03,6.27,52240451,809728264
1/30/2019,6.17,6.22,6.06,6.17,41310644,797597771
1/29/2019,6.22,6.31,6.06,6.18,49291811,798520266
1/28/2019,7.09,7.19,6.11,6.21,82427200,801686639
1/27/2019,7,7.25,6.86,7.09,52872347,915621569
1/26/2019,6.75,7.04,6.69,7.01,48498979,905076469
1/25/2019,6.51,6.8,6.51,6.74,43731936,870297268
1/24/2019,6.53,6.54,6.47,6.51,26614401,840388816
1/23/2019,6.53,6.57,6.44,6.54,33083575,844988795
1/22/2019,6.54,6.57,6.38,6.52,31986617,842637433
1/21/2019,6.51,6.58,6.42,6.55,36321046,846490209
1/20/2019,6.65,6.73,6.38,6.49,49479090,838848751
1/19/2019,6.57,6.73,6.36,6.64,46981638,857137442
1/18/2019,6.41,6.69,6.34,6.56,43105423,847783881
1/17/2019,6.17,6.42,6.08,6.42,36306127,829026635
1/16/2019,5.92,6.25,5.9,6.19,35059223,799081409
1/15/2019,6.16,6.16,5.82,5.92,25427436,774207426
1/14/2019,5.58,6.16,5.57,6.16,43109288,805629865
1/13/2019,5.97,6,5.49,5.57,26590183,728389539
1/12/2019,6.09,6.09,5.93,5.98,32654874,781782829
1/11/2019,5.97,6.24,5.84,6.08,50239804,794650511
1/10/2019,6.61,6.68,5.8,5.92,75844882,773798122
1/9/2019,6.66,6.97,6.47,6.64,74676974,868710100
1/8/2019,6.3,6.91,6.24,6.64,65660517,868514466
1/7/2019,6.43,6.43,6.23,6.29,37914513,822912212
1/6/2019,6.07,6.5,6.03,6.4,41574183,836589632
1/5/2019,6.06,6.2,6.03,6.07,30340637,793368779
1/4/2019,5.9,6.07,5.86,6.07,29311136,793315820
1/3/2019,6.17,6.18,5.9,5.9,22821639,772178241
1/2/2019,6.09,6.21,5.95,6.19,30308610,809466354
1/1/2019,6.19,6.19,5.89,6.08,23891162,794641454
12/31/2018,6,6.33,5.97,6.16,38216014,806342664
12/30/2018,5.84,6.01,5.77,6,21109984,784234812
12/29/2018,6.03,6.1,5.83,5.83,20325768,762866028
12/28/2018,5.29,6.02,5.25,6.01,23929897,786342938
12/27/2018,5.72,5.75,5.25,5.28,16073455,690025211
12/26/2018,5.55,5.77,5.53,5.71,19526927,747270233
12/25/2018,6.19,6.19,5.46,5.55,19913983,725618989
12/24/2018,6.06,6.58,6.06,6.14,30471526,803751864
12/23/2018,5.93,6.21,5.9,6.06,29722800,792514008
12/22/2018,5.56,5.95,5.5,5.93,28188479,775715534
12/21/2018,5.79,5.87,5.45,5.57,24440098,728178645
12/20/2018,5.47,5.92,5.37,5.79,27976597,757623268
12/19/2018,5.61,5.89,5.4,5.49,25173916,718336896
12/18/2018,5.11,5.6,4.98,5.6,26195539,732511504
12/17/2018,4.65,5.16,4.64,5.11,17799305,668386725
12/16/2018,4.57,4.73,4.54,4.65,14565932,607596554
12/15/2018,4.53,4.64,4.48,4.56,12572161,596838783
12/14/2018,4.65,4.75,4.46,4.53,13544913,592960009
12/13/2018,5.03,5.03,4.59,4.65,14503435,608308845
12/12/2018,4.94,5.18,4.83,5.02,17783397,657022817
12/11/2018,4.71,4.97,4.59,4.94,19625570,646239850
12/10/2018,4.85,5,4.59,4.71,13851408,616360814
12/9/2018,4.71,5.05,4.62,4.86,17862646,635567539
12/8/2018,4.53,4.81,4.38,4.7,16534323,614811505
12/7/2018,4.92,4.96,4.19,4.53,24895395,592344303
12/6/2018,6.01,6.06,4.95,4.95,38404207,647677223
12/5/2018,5.92,6.59,5.78,5.98,61589926,782739422
12/4/2018,5.11,6.29,5.11,5.88,39059359,769203427
12/3/2018,5.25,5.28,5,5.11,12193045,668286590
12/2/2018,5.27,5.43,5.2,5.25,11848313,686750930
12/1/2018,5.09,5.42,5.01,5.29,12291155,691761389
11/30/2018,5.37,5.43,4.95,5.08,10699024,664273799
11/29/2018,5.35,5.6,5.15,5.35,13027940,699335928
11/28/2018,4.9,5.47,4.9,5.34,15392800,698070712
11/27/2018,4.91,4.95,4.68,4.91,9050190,642623575
11/26/2018,5.18,5.26,4.67,4.93,10132300,644376285
11/25/2018,5.09,5.28,4.44,5.18,12236300,677616315
11/24/2018,5.56,5.67,4.72,5.12,11938900,669075120
11/23/2018,5.74,5.77,5.42,5.56,9943370,726908037
11/22/2018,6.21,6.23,5.76,5.76,9885300,752821997
11/21/2018,5.8,6.2,5.57,6.2,14208800,810831494
11/20/2018,6.61,6.76,5.55,5.76,25989200,753431522
11/19/2018,8,8.01,6.6,6.63,21567100,867472829
11/18/2018,7.74,8.03,7.73,8,13784000,1046363128
11/17/2018,7.9,7.9,7.61,7.72,16973900,1009535273
11/16/2018,8.18,8.21,7.8,7.88,18869500,1031284583
11/15/2018,8.41,8.46,7.75,8.18,19131700,1070574081
11/14/2018,9.22,9.23,8.14,8.41,19518100,1099631149
11/13/2018,9.37,9.47,9.19,9.25,17068400,1209685693
11/12/2018,9.49,9.52,9.27,9.36,19452700,1224441164
11/11/2018,9.57,9.58,9.35,9.47,18889600,1238146316
11/10/2018,9.55,9.64,9.51,9.56,18550600,1250117069
11/9/2018,9.64,9.67,9.49,9.55,18859800,1249682815
11/8/2018,9.81,9.83,9.62,9.65,21877100,1262337649
11/7/2018,9.8,9.88,9.77,9.82,23433700,1284047719
11/6/2018,9.71,9.78,9.62,9.78,24810200,1278317401
11/5/2018,9.59,9.77,9.58,9.67,21103300,1265157682
11/4/2018,9.53,9.74,9.49,9.63,24079700,1259275637
11/3/2018,9.59,9.63,9.49,9.53,19663500,1246544940
11/2/2018,9.53,9.61,9.48,9.57,21304800,1252152306
11/1/2018,9.37,9.63,9.34,9.55,19690100,1249031435
10/31/2018,9.4,9.42,9.31,9.36,21398200,1224930353
10/30/2018,9.4,9.47,9.35,9.39,24305700,1227818402
10/29/2018,9.64,9.68,9.34,9.4,24583200,1229856255
10/28/2018,9.67,9.71,9.59,9.67,24760500,1264409510
10/27/2018,9.7,9.73,9.63,9.65,22943000,1262795447
10/26/2018,9.68,9.73,9.62,9.7,24495800,1269103898
10/25/2018,9.73,9.75,9.64,9.69,25207400,1267743585
10/24/2018,9.78,9.82,9.71,9.75,26652600,1274681180
